turbine_id,line_id,section_id,diameter,length,mass,thickness,cost_rate
  33,  F,  chain_top      ,  0.075,  139.5,    0.0, 0, 0
  29,  D,  chain_bottom   ,  0.075,   43.0,    0.0, 0, 0
  29,  C,  chain_bottom   ,  0.075,   42.9,    0.0, 0, 0
  23,  F,  chain_top      ,  0.075,  134.0,    0.0, 0, 0
  28,  D,  chain_bottom   ,  0.075,   45.3,    0.0, 0, 0
  39,  E,  chain_top      ,  0.075,  134.5,    0.0, 0, 0
  39,  F,  chain_bottom   ,  0.075,   37.3,    0.0, 0, 0
  28,  D,  chain_top      ,  0.075,  138.3,    0.0, 0, 0
  12,  D,  chain_bottom   ,  0.075,   44.3,    0.0, 0, 0
  13,  C,  chain_bottom   ,  0.075,   42.3,    0.0, 0, 0
  13,  D,  chain_bottom   ,  0.075,   42.3,    0.0, 0, 0
  10,  D,  chain_top      ,  0.075,  138.0,    0.0, 0, 0
   9,  C,  chain_top      ,  0.075,  136.4,    0.0, 0, 0
  13,  D,  chain_top      ,  0.075,  136.8,    0.0, 0, 0
   9,  C,  chain_bottom   ,  0.075,   41.5,    0.0, 0, 0
  13,  C,  chain_top      ,  0.075,  136.8,    0.0, 0, 0
  30,  C,  chain_bottom   ,  0.075,   39.8,    0.0, 0, 0
  30,  C,  chain_top      ,  0.075,  135.6,    0.0, 0, 0
  39,  E,  chain_bottom   ,  0.075,   37.4,    0.0, 0, 0
  29,  D,  chain_top      ,  0.075,  137.1,    0.0, 0, 0
  27,  D,  chain_top      ,  0.075,  139.0,    0.0, 0, 0
  12,  C,  chain_top      ,  0.075,  137.7,    0.0, 0, 0
  28,  C,  chain_bottom   ,  0.075,   45.3,    0.0, 0, 0
   1,  E,  chain_top      ,  0.075,  135.4,    0.0, 0, 0
  11,  C,  chain_bottom   ,  0.075,   45.4,    0.0, 0, 0
   1,  F,  chain_top      ,  0.075,  135.5,    0.0, 0, 0
  38,  E,  chain_bottom   ,  0.075,   40.9,    0.0, 0, 0
  11,  D,  chain_bottom   ,  0.075,   45.4,    0.0, 0, 0
   1,  E,  chain_bottom   ,  0.075,   39.5,    0.0, 0, 0
  12,  C,  chain_bottom   ,  0.075,   44.3,    0.0, 0, 0
  11,  C,  chain_top      ,  0.075,  138.3,    0.0, 0, 0
  26,  D,  chain_bottom   ,  0.075,   47.1,    0.0, 0, 0
  38,  E,  chain_top      ,  0.075,  136.1,    0.0, 0, 0
  11,  D,  chain_top      ,  0.075,  138.3,    0.0, 0, 0
  39,  F,  chain_top      ,  0.075,  134.4,    0.0, 0, 0
